stop_id	stop_name	stop_lon	stop_lat
8591315	Zürich, Rehalp	8.582980333	47.35102688
8591142	Zürich, Friedhof Enzenbühl	8.580276404	47.3509721
8530811	Zürich Balgrist	8.575021259	47.35457497
8591104	Zürich, Burgwies	8.57185919	47.35801938
8591429	Zürich, Wetlistrasse	8.568625255	47.36015528
8591180	Zürich, Hedwigsteig	8.565031993	47.36042303
8530812	Zürich Hegibachplatz	8.560621265	47.3616887
8591364	Zürich, Signaustrasse	8.557620892	47.36322816
8591119	Zürich, Englischviertelstrasse	8.558168865	47.36673284
8503083	Zürich, Römerhof	8.560279906	47.36808963
8591202	Zürich, Hottingerplatz	8.554404924	47.36947071
8591239	Zürich, Kunsthaus	8.549140796	47.37043806
8591233	Zürich, Klusplatz	8.566496247	47.36403742
8591199	Zürich, Hölderlinstrasse	8.562390946	47.36611224
8591442	Zürich, Zoo	8.571553762	47.38157041
8591389	Zürich, Susenbergstrasse	8.568005417	47.3785351
8591444	Zürich, Zürichbergstrasse	8.564106729	47.37872975
8591397	Zürich, Toblerplatz	8.559345658	47.37908865
8591230	Zürich, Kirche Fluntern	8.559390573	47.37639994
8591412	Zürich, Voltastrasse	8.554521705	47.37686834
8591303	Zürich, Platte	8.552635242	47.37500687
8591220	Zürich, Kantonsschule	8.550524202	47.37271947
8530813	Zürich Kreuzplatz	8.55408153	47.36487709
8503059	Zürich Stadelhofen FB	8.5481257	47.36634953
8576193	Zürich, Bellevue	8.545116344	47.36709182
8576182	Zürich Tiefenbrunnen, Bahnhof	8.560989575	47.35041826
8576200	Zürich, Wildbachstrasse	8.558869551	47.35318741
8576199	Zürich, Fröhlichstrasse	8.556893257	47.35517137
8576198	Zürich, Höschgasse	8.554207294	47.35799504
8576197	Zürich, Feldeggstrasse	8.552060321	47.3605143
8576196	Zürich, Kreuzstrasse	8.549796566	47.36318557
8576195	Zürich, Opernhaus	8.547649593	47.36541253
8591105	Zürich, Bürkliplatz	8.540786464	47.36653814
8591093	Zürich, Kantonalbank	8.539744418	47.36816872
8591317	Zürich, Rentenanstalt	8.535037246	47.36338636
8591058	Zürich Enge, Bahnhof	8.531569749	47.36412869
8591283	Zürich, Museum Rietberg	8.531551783	47.36072119
8591100	Zürich, Brunaustrasse	8.532216536	47.35613289
8591082	Zürich, Billoweg	8.531973991	47.35146508
8591081	Zürich Wollishofen,Bhf/Staubst	8.532917222	47.34703423
8591304	Zürich, Post Wollishofen	8.532953155	47.34447171
8591279	Zürich, Morgental	8.530141428	47.34394823
8591106	Zürich, Butzenstrasse	8.530312108	47.34140992
8591439	Zürich, Wollishoferplatz	8.530159394	47.33843926
8591299	Zürich, Paradeplatz	8.538917968	47.36973233
8591384	Zürich, Stockerstrasse	8.535423522	47.3678706
8591404	Zürich, Tunnelstrasse	8.532530946	47.36614266
8591059	Zürich Enge, Bahnhof/Bederstr.	8.530455838	47.36455461
8591415	Zürich, Waffenplatzstrasse	8.525748666	47.36148181
8591366	Zürich, Sihlcity Nord	8.523026771	47.36006401
8591329	Zürich, Saalsporthalle	8.52040369	47.35786116
8591245	Zürich, Laubegg	8.517088907	47.35873136
8591405	Zürich, Uetlihof	8.513962769	47.35673536
